 APIIX-> ;0.0109; APIUX-> ;0.9891; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.2046 ;Rendimiento->; 0.020442 ;VarianzaCalculada->; 6.9995E-4
 APIIX-> ;0.0164; APIUX-> ;0.9837; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.0598 ;Rendimiento->; 0.020344 ;VarianzaCalculada->; 7.0006E-4
 APIIX-> ;0.0246; APIUX-> ;0.9795; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.7359 ;Rendimiento->; 0.020277 ;VarianzaCalculada->; 7.0564E-4
 APIIX-> ;0.0316; APIUX-> ;0.9684; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.6704 ;Rendimiento->; 0.020065 ;VarianzaCalculada->; 6.9986E-4
 APIIX-> ;0.0333; APIUX-> ;0.9667; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.6266 ;Rendimiento->; 0.020034 ;VarianzaCalculada->; 6.9985E-4
 APIIX-> ;0.0338; APIUX-> ;0.9661; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.6164 ;Rendimiento->; 0.020023 ;VarianzaCalculada->; 6.9971E-4
 APIIX-> ;0.0305; APIUX-> ;0.9739; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.5765 ;Rendimiento->; 0.020176 ;VarianzaCalculada->; 7.0604E-4
 APIIX-> ;0.0222; APIUX-> ;0.9902; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.5658 ;Rendimiento->; 0.020492 ;VarianzaCalculada->; 7.1737E-4
 APIIX-> ;0.0219; APIUX-> ;0.9911; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.5568 ;Rendimiento->; 0.02051 ;VarianzaCalculada->; 7.1822E-4
 APIIX-> ;0.0364; APIUX-> ;0.9636; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.5465 ;Rendimiento->; 0.019978 ;VarianzaCalculada->; 6.9984E-4
