 APIIX-> ;0.0503; APIUX-> ;0.9344; PRPFX-> ;0.01; MPERX-> ;0.0028; AFFIX-> ;0.0025; Fitness-> ;27.9069 ;Rendimiento->; 0.019414 ;VarianzaCalculada->; 6.9568E-4
 APIIX-> ;0.0532; APIUX-> ;0.9331; PRPFX-> ;0.0091; MPERX-> ;0.0023; AFFIX-> ;0.0021; Fitness-> ;27.8724 ;Rendimiento->; 0.019395 ;VarianzaCalculada->; 6.9584E-4
 APIIX-> ;0.0506; APIUX-> ;0.9301; PRPFX-> ;0.0166; MPERX-> ;0.0014; AFFIX-> ;0.0015; Fitness-> ;27.8372 ;Rendimiento->; 0.019335 ;VarianzaCalculada->; 6.9459E-4
 APIIX-> ;0.0525; APIUX-> ;0.9297; PRPFX-> ;0.012; MPERX-> ;0.0033; AFFIX-> ;0.0024; Fitness-> ;27.8112 ;Rendimiento->; 0.019323 ;VarianzaCalculada->; 6.9479E-4
 APIIX-> ;0.0581; APIUX-> ;0.9302; PRPFX-> ;0.0083; MPERX-> ;0.0018; AFFIX-> ;0.0016; Fitness-> ;27.7765 ;Rendimiento->; 0.019347 ;VarianzaCalculada->; 6.9651E-4
 APIIX-> ;0.0559; APIUX-> ;0.9289; PRPFX-> ;0.0098; MPERX-> ;0.0027; AFFIX-> ;0.0027; Fitness-> ;27.7614 ;Rendimiento->; 0.019315 ;VarianzaCalculada->; 6.9575E-4
 APIIX-> ;0.0559; APIUX-> ;0.9269; PRPFX-> ;0.0116; MPERX-> ;0.003; AFFIX-> ;0.0024; Fitness-> ;27.7383 ;Rendimiento->; 0.019274 ;VarianzaCalculada->; 6.9485E-4
 APIIX-> ;0.0583; APIUX-> ;0.9271; PRPFX-> ;0.0096; MPERX-> ;0.0025; AFFIX-> ;0.0024; Fitness-> ;27.717 ;Rendimiento->; 0.019284 ;VarianzaCalculada->; 6.9573E-4
 APIIX-> ;0.0547; APIUX-> ;0.9258; PRPFX-> ;0.0124; MPERX-> ;0.0034; AFFIX-> ;0.0037; Fitness-> ;27.7079 ;Rendimiento->; 0.01925 ;VarianzaCalculada->; 6.9475E-4
 APIIX-> ;0.0557; APIUX-> ;0.9252; PRPFX-> ;0.0127; MPERX-> ;0.0031; AFFIX-> ;0.0032; Fitness-> ;27.6988 ;Rendimiento->; 0.019241 ;VarianzaCalculada->; 6.9463E-4
