 APIIX-> ;0.0076; APIUX-> ;0.9924; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.2897 Rendimiento-> 0.020502 VarianzaCalculada-> 6.9996E-4
 APIIX-> ;0.0094; APIUX-> ;0.9878; PRPFX-> ;0.0021; MPERX-> ;4.0E-4; AFFIX-> ;2.0E-4; Fitness-> ;29.2021 Rendimiento-> 0.020412 VarianzaCalculada-> 6.99E-4
 APIIX-> ;0.0; APIUX-> ;0.9789; PRPFX-> ;0.0139; MPERX-> ;0.0; AFFIX-> ;0.0088; Fitness-> ;28.9912 Rendimiento-> 0.020233 VarianzaCalculada-> 6.979E-4
 APIIX-> ;0.0112; APIUX-> ;0.9767; PRPFX-> ;0.0074; MPERX-> ;0.0; AFFIX-> ;0.0047; Fitness-> ;28.9595 Rendimiento-> 0.020202 VarianzaCalculada-> 6.9758E-4
 APIIX-> ;0.0175; APIUX-> ;0.9752; PRPFX-> ;0.0046; MPERX-> ;0.0; AFFIX-> ;0.0026; Fitness-> ;28.8985 Rendimiento-> 0.02018 VarianzaCalculada-> 6.983E-4
 APIIX-> ;0.0253; APIUX-> ;0.9735; PRPFX-> ;0.0017; MPERX-> ;0.0; AFFIX-> ;4.0E-4; Fitness-> ;28.7715 Rendimiento-> 0.020157 VarianzaCalculada-> 7.006E-4
 APIIX-> ;0.0249; APIUX-> ;0.9725; PRPFX-> ;1.0E-4; MPERX-> ;0.0; AFFIX-> ;0.0027; Fitness-> ;28.7649 Rendimiento-> 0.020138 VarianzaCalculada-> 7.0009E-4
 APIIX-> ;0.0174; APIUX-> ;0.9707; PRPFX-> ;0.0028; MPERX-> ;0.0; AFFIX-> ;0.0091; Fitness-> ;28.7539 Rendimiento-> 0.020096 VarianzaCalculada-> 6.989E-4
 APIIX-> ;0.0234; APIUX-> ;0.9698; PRPFX-> ;0.0042; MPERX-> ;0.0; AFFIX-> ;0.0026; Fitness-> ;28.7493 Rendimiento-> 0.020082 VarianzaCalculada-> 6.9854E-4
 APIIX-> ;0.0118; APIUX-> ;0.9694; PRPFX-> ;0.0049; MPERX-> ;0.0; AFFIX-> ;0.0138; Fitness-> ;28.7445 Rendimiento-> 0.020066 VarianzaCalculada-> 6.9807E-4
