 APIIX-> ;0.0575; APIUX-> ;0.905; PRPFX-> ;0.0175; MPERX-> ;0.0032; AFFIX-> ;0.0168; Fitness-> ;27.2007 Rendimiento-> 0.018855 VarianzaCalculada-> 6.932E-4
 APIIX-> ;0.0582; APIUX-> ;0.9042; PRPFX-> ;0.0175; MPERX-> ;0.0033; AFFIX-> ;0.0168; Fitness-> ;27.1804 Rendimiento-> 0.01884 VarianzaCalculada-> 6.9316E-4
 APIIX-> ;0.0582; APIUX-> ;0.904; PRPFX-> ;0.0176; MPERX-> ;0.0033; AFFIX-> ;0.0169; Fitness-> ;27.1759 Rendimiento-> 0.018836 VarianzaCalculada-> 6.9313E-4
 APIIX-> ;0.0584; APIUX-> ;0.9035; PRPFX-> ;0.0179; MPERX-> ;0.0033; AFFIX-> ;0.0169; Fitness-> ;27.1654 Rendimiento-> 0.018827 VarianzaCalculada-> 6.9305E-4
 APIIX-> ;0.0588; APIUX-> ;0.9032; PRPFX-> ;0.0177; MPERX-> ;0.0034; AFFIX-> ;0.0169; Fitness-> ;27.1564 Rendimiento-> 0.018821 VarianzaCalculada-> 6.9307E-4
 APIIX-> ;0.0594; APIUX-> ;0.9031; PRPFX-> ;0.0174; MPERX-> ;0.0033; AFFIX-> ;0.0168; Fitness-> ;27.1508 Rendimiento-> 0.01882 VarianzaCalculada-> 6.9318E-4
 APIIX-> ;0.0594; APIUX-> ;0.9026; PRPFX-> ;0.0177; MPERX-> ;0.0035; AFFIX-> ;0.0168; Fitness-> ;27.1413 Rendimiento-> 0.01881 VarianzaCalculada-> 6.9303E-4
 APIIX-> ;0.0602; APIUX-> ;0.902; PRPFX-> ;0.0174; MPERX-> ;0.0036; AFFIX-> ;0.0168; Fitness-> ;27.1236 Rendimiento-> 0.018799 VarianzaCalculada-> 6.9308E-4
 APIIX-> ;0.0599; APIUX-> ;0.9018; PRPFX-> ;0.0179; MPERX-> ;0.0036; AFFIX-> ;0.0168; Fitness-> ;27.1225 Rendimiento-> 0.018794 VarianzaCalculada-> 6.9295E-4
 APIIX-> ;0.0595; APIUX-> ;0.9016; PRPFX-> ;0.0181; MPERX-> ;0.0038; AFFIX-> ;0.0171; Fitness-> ;27.1147 Rendimiento-> 0.018789 VarianzaCalculada-> 6.9296E-4
