 APIIX-> ;0.0148; APIUX-> ;0.9734; PRPFX-> ;0.0066; MPERX-> ;5.0E-4; AFFIX-> ;0.0047; Fitness-> ;28.8693 Rendimiento-> 0.02014 VarianzaCalculada-> 6.9763E-4
 APIIX-> ;0.0198; APIUX-> ;0.9707; PRPFX-> ;0.0059; MPERX-> ;0.0; AFFIX-> ;0.0036; Fitness-> ;28.7895 Rendimiento-> 0.020096 VarianzaCalculada-> 6.9802E-4
 APIIX-> ;0.0181; APIUX-> ;0.9672; PRPFX-> ;0.0081; MPERX-> ;0.0017; AFFIX-> ;0.005; Fitness-> ;28.7262 Rendimiento-> 0.020018 VarianzaCalculada-> 6.9687E-4
 APIIX-> ;0.0193; APIUX-> ;0.9648; PRPFX-> ;0.0087; MPERX-> ;0.0021; AFFIX-> ;0.0051; Fitness-> ;28.6777 Rendimiento-> 0.019971 VarianzaCalculada-> 6.964E-4
 APIIX-> ;0.0198; APIUX-> ;0.9639; PRPFX-> ;0.0089; MPERX-> ;0.0023; AFFIX-> ;0.0051; Fitness-> ;28.6576 Rendimiento-> 0.019953 VarianzaCalculada-> 6.9627E-4
 APIIX-> ;0.0284; APIUX-> ;0.9474; PRPFX-> ;0.013; MPERX-> ;0.0053; AFFIX-> ;0.0059; Fitness-> ;28.2848 Rendimiento-> 0.01963 VarianzaCalculada-> 6.94E-4
 APIIX-> ;0.0296; APIUX-> ;0.945; PRPFX-> ;0.0136; MPERX-> ;0.0057; AFFIX-> ;0.006; Fitness-> ;28.2352 Rendimiento-> 0.019583 VarianzaCalculada-> 6.9355E-4
 APIIX-> ;0.0229; APIUX-> ;0.9398; PRPFX-> ;0.0271; MPERX-> ;0.0031; AFFIX-> ;0.0071; Fitness-> ;28.1936 Rendimiento-> 0.019482 VarianzaCalculada-> 6.9101E-4
 APIIX-> ;0.0314; APIUX-> ;0.9418; PRPFX-> ;0.0142; MPERX-> ;0.0064; AFFIX-> ;0.0062; Fitness-> ;28.1555 Rendimiento-> 0.01952 VarianzaCalculada-> 6.9328E-4
 APIIX-> ;0.0308; APIUX-> ;0.9398; PRPFX-> ;0.0168; MPERX-> ;0.0062; AFFIX-> ;0.0063; Fitness-> ;28.1301 Rendimiento-> 0.01948 VarianzaCalculada-> 6.9251E-4
