 APIIX-> ;0.0768; APIUX-> ;0.9232; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.503 ;Rendimiento->; 0.019243 ;VarianzaCalculada->; 6.9967E-4
 APIIX-> ;0.0852; APIUX-> ;0.9067; PRPFX-> ;0.0036; MPERX-> ;6.0E-4; AFFIX-> ;0.0039; Fitness-> ;27.1133 ;Rendimiento->; 0.018931 ;VarianzaCalculada->; 6.9823E-4
 APIIX-> ;0.0855; APIUX-> ;0.9059; PRPFX-> ;0.0044; MPERX-> ;0.0011; AFFIX-> ;0.0031; Fitness-> ;27.1038 ;Rendimiento->; 0.018913 ;VarianzaCalculada->; 6.9781E-4
 APIIX-> ;0.089; APIUX-> ;0.9056; PRPFX-> ;0.003; MPERX-> ;3.0E-4; AFFIX-> ;0.0019; Fitness-> ;27.0885 ;Rendimiento->; 0.018915 ;VarianzaCalculada->; 6.9826E-4
 APIIX-> ;0.0906; APIUX-> ;0.9026; PRPFX-> ;0.0037; MPERX-> ;8.0E-4; AFFIX-> ;0.0025; Fitness-> ;27.0001 ;Rendimiento->; 0.018857 ;VarianzaCalculada->; 6.984E-4
 APIIX-> ;0.0944; APIUX-> ;0.8965; PRPFX-> ;0.005; MPERX-> ;9.0E-4; AFFIX-> ;0.0032; Fitness-> ;26.8646 ;Rendimiento->; 0.018742 ;VarianzaCalculada->; 6.9766E-4
 APIIX-> ;0.1029; APIUX-> ;0.8971; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.8283 ;Rendimiento->; 0.018768 ;VarianzaCalculada->; 6.9957E-4
 APIIX-> ;0.0957; APIUX-> ;0.8942; PRPFX-> ;0.004; MPERX-> ;0.0016; AFFIX-> ;0.0047; Fitness-> ;26.7886 ;Rendimiento->; 0.018698 ;VarianzaCalculada->; 6.9797E-4
 APIIX-> ;0.0932; APIUX-> ;0.893; PRPFX-> ;0.0064; MPERX-> ;0.0014; AFFIX-> ;0.0062; Fitness-> ;26.7778 ;Rendimiento->; 0.018672 ;VarianzaCalculada->; 6.973E-4
 APIIX-> ;0.0926; APIUX-> ;0.8916; PRPFX-> ;0.0; MPERX-> ;0.0048; AFFIX-> ;0.011; Fitness-> ;26.7077 ;Rendimiento->; 0.018633 ;VarianzaCalculada->; 6.9766E-4
