 APIIX-> ;0.0182; APIUX-> ;0.8996; PRPFX-> ;0.0756; MPERX-> ;0.0062; AFFIX-> ;4.0E-4; Fitness-> ;27.4107 Rendimiento-> 0.018667 VarianzaCalculada-> 6.81E-4
 APIIX-> ;0.0242; APIUX-> ;0.8925; PRPFX-> ;0.0763; MPERX-> ;0.0062; AFFIX-> ;7.0E-4; Fitness-> ;27.2292 Rendimiento-> 0.018536 VarianzaCalculada-> 6.8074E-4
 APIIX-> ;0.0254; APIUX-> ;0.8919; PRPFX-> ;0.0752; MPERX-> ;0.0061; AFFIX-> ;0.0012; Fitness-> ;27.2147 Rendimiento-> 0.018527 VarianzaCalculada-> 6.8076E-4
 APIIX-> ;0.0288; APIUX-> ;0.8889; PRPFX-> ;0.0743; MPERX-> ;0.0061; AFFIX-> ;0.0017; Fitness-> ;27.1319 Rendimiento-> 0.018473 VarianzaCalculada-> 6.8086E-4
 APIIX-> ;0.0356; APIUX-> ;0.8827; PRPFX-> ;0.071; MPERX-> ;0.0059; AFFIX-> ;0.0046; Fitness-> ;26.9544 Rendimiento-> 0.018364 VarianzaCalculada-> 6.813E-4
 APIIX-> ;0.0364; APIUX-> ;0.8819; PRPFX-> ;0.0733; MPERX-> ;0.006; AFFIX-> ;0.0024; Fitness-> ;26.9321 Rendimiento-> 0.018348 VarianzaCalculada-> 6.8126E-4
 APIIX-> ;0.0413; APIUX-> ;0.9256; PRPFX-> ;0.0558; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.8469 Rendimiento-> 0.01926 VarianzaCalculada-> 7.1739E-4
 APIIX-> ;0.0392; APIUX-> ;0.8742; PRPFX-> ;0.0763; MPERX-> ;0.0064; AFFIX-> ;0.0038; Fitness-> ;26.7408 Rendimiento-> 0.0182 VarianzaCalculada-> 6.806E-4
 APIIX-> ;0.0378; APIUX-> ;0.8742; PRPFX-> ;0.0766; MPERX-> ;0.0078; AFFIX-> ;0.0036; Fitness-> ;26.7371 Rendimiento-> 0.018192 VarianzaCalculada-> 6.804E-4
 APIIX-> ;0.0536; APIUX-> ;0.8774; PRPFX-> ;0.051; MPERX-> ;0.0042; AFFIX-> ;0.0139; Fitness-> ;26.7042 Rendimiento-> 0.018301 VarianzaCalculada-> 6.8531E-4
