 APIIX-> ;0.0191; APIUX-> ;0.984; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.9049 ;Rendimiento->; 0.020357 ;VarianzaCalculada->; 7.0426E-4
 APIIX-> ;0.0224; APIUX-> ;0.9751; PRPFX-> ;0.0024; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.8745 ;Rendimiento->; 0.020183 ;VarianzaCalculada->; 6.99E-4
 APIIX-> ;0.0226; APIUX-> ;0.9749; PRPFX-> ;0.0026; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.8606 ;Rendimiento->; 0.02018 ;VarianzaCalculada->; 6.9922E-4
 APIIX-> ;0.0234; APIUX-> ;0.9734; PRPFX-> ;0.0032; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.8336 ;Rendimiento->; 0.020151 ;VarianzaCalculada->; 6.9889E-4
 APIIX-> ;0.0228; APIUX-> ;0.9737; PRPFX-> ;0.0048; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.7879 ;Rendimiento->; 0.020158 ;VarianzaCalculada->; 7.0021E-4
 APIIX-> ;0.0231; APIUX-> ;0.9736; PRPFX-> ;0.0052; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.7571 ;Rendimiento->; 0.020157 ;VarianzaCalculada->; 7.0093E-4
 APIIX-> ;0.0251; APIUX-> ;0.9694; PRPFX-> ;0.0062; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.7235 ;Rendimiento->; 0.020076 ;VarianzaCalculada->; 6.9894E-4
 APIIX-> ;0.0226; APIUX-> ;0.9833; PRPFX-> ;0.0015; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.6724 ;Rendimiento->; 0.020352 ;VarianzaCalculada->; 7.0982E-4
 APIIX-> ;0.0236; APIUX-> ;0.9777; PRPFX-> ;0.0046; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.6418 ;Rendimiento->; 0.020242 ;VarianzaCalculada->; 7.0673E-4
 APIIX-> ;0.0282; APIUX-> ;0.9649; PRPFX-> ;0.0075; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.6257 ;Rendimiento->; 0.019992 ;VarianzaCalculada->; 6.9839E-4
