 APIIX-> ;0.0542; APIUX-> ;0.9457; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.0896 ;Rendimiento->; 0.019652 ;VarianzaCalculada->; 6.9962E-4
 APIIX-> ;0.0555; APIUX-> ;0.9439; PRPFX-> ;4.0E-4; MPERX-> ;1.0E-4; AFFIX-> ;1.0E-4; Fitness-> ;28.0426 ;Rendimiento->; 0.019618 ;VarianzaCalculada->; 6.9959E-4
 APIIX-> ;0.0589; APIUX-> ;0.938; PRPFX-> ;0.0016; MPERX-> ;6.0E-4; AFFIX-> ;8.0E-4; Fitness-> ;27.9107 ;Rendimiento->; 0.019506 ;VarianzaCalculada->; 6.9886E-4
 APIIX-> ;0.0589; APIUX-> ;0.938; PRPFX-> ;0.0016; MPERX-> ;6.0E-4; AFFIX-> ;8.0E-4; Fitness-> ;27.9107 ;Rendimiento->; 0.019506 ;VarianzaCalculada->; 6.9886E-4
 APIIX-> ;0.0655; APIUX-> ;0.9334; PRPFX-> ;0.001; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.7821 ;Rendimiento->; 0.019427 ;VarianzaCalculada->; 6.9926E-4
 APIIX-> ;0.0647; APIUX-> ;0.9331; PRPFX-> ;0.0014; MPERX-> ;4.0E-4; AFFIX-> ;5.0E-4; Fitness-> ;27.7704 ;Rendimiento->; 0.019419 ;VarianzaCalculada->; 6.9926E-4
 APIIX-> ;0.0654; APIUX-> ;0.9322; PRPFX-> ;0.0014; MPERX-> ;5.0E-4; AFFIX-> ;5.0E-4; Fitness-> ;27.7529 ;Rendimiento->; 0.019401 ;VarianzaCalculada->; 6.9908E-4
 APIIX-> ;0.0636; APIUX-> ;0.9303; PRPFX-> ;0.0032; MPERX-> ;0.0013; AFFIX-> ;0.0015; Fitness-> ;27.7316 ;Rendimiento->; 0.019359 ;VarianzaCalculada->; 6.9808E-4
 APIIX-> ;0.0636; APIUX-> ;0.9303; PRPFX-> ;0.0032; MPERX-> ;0.0013; AFFIX-> ;0.0015; Fitness-> ;27.7316 ;Rendimiento->; 0.019359 ;VarianzaCalculada->; 6.9808E-4
 APIIX-> ;0.068; APIUX-> ;0.9282; PRPFX-> ;0.0026; MPERX-> ;5.0E-4; AFFIX-> ;5.0E-4; Fitness-> ;27.6719 ;Rendimiento->; 0.019326 ;VarianzaCalculada->; 6.9841E-4
