 APIIX-> ;0.0116; APIUX-> ;0.871; PRPFX-> ;0.0943; MPERX-> ;0.0229; AFFIX-> ;4.0E-4; Fitness-> ;26.6513 Rendimiento-> 0.018025 VarianzaCalculada-> 6.7634E-4
 APIIX-> ;0.0137; APIUX-> ;0.8695; PRPFX-> ;0.093; MPERX-> ;0.0232; AFFIX-> ;7.0E-4; Fitness-> ;26.6151 Rendimiento-> 0.017998 VarianzaCalculada-> 6.7623E-4
 APIIX-> ;0.0136; APIUX-> ;0.8689; PRPFX-> ;0.0932; MPERX-> ;0.0235; AFFIX-> ;9.0E-4; Fitness-> ;26.5983 Rendimiento-> 0.017985 VarianzaCalculada-> 6.7617E-4
 APIIX-> ;0.0134; APIUX-> ;0.8683; PRPFX-> ;0.093; MPERX-> ;0.0241; AFFIX-> ;0.0012; Fitness-> ;26.5855 Rendimiento-> 0.01797 VarianzaCalculada-> 6.7595E-4
 APIIX-> ;0.0134; APIUX-> ;0.8684; PRPFX-> ;0.093; MPERX-> ;0.0241; AFFIX-> ;0.0012; Fitness-> ;26.5832 Rendimiento-> 0.017972 VarianzaCalculada-> 6.7608E-4
 APIIX-> ;0.0132; APIUX-> ;0.8681; PRPFX-> ;0.0929; MPERX-> ;0.0245; AFFIX-> ;0.0014; Fitness-> ;26.5741 Rendimiento-> 0.017965 VarianzaCalculada-> 6.7602E-4
 APIIX-> ;0.0137; APIUX-> ;0.8739; PRPFX-> ;0.0944; MPERX-> ;0.0214; AFFIX-> ;0.0; Fitness-> ;26.5732 Rendimiento-> 0.018095 VarianzaCalculada-> 6.8093E-4
 APIIX-> ;0.0126; APIUX-> ;0.8676; PRPFX-> ;0.0946; MPERX-> ;0.0239; AFFIX-> ;0.0015; Fitness-> ;26.5571 Rendimiento-> 0.017957 VarianzaCalculada-> 6.7615E-4
 APIIX-> ;0.0126; APIUX-> ;0.8675; PRPFX-> ;0.0946; MPERX-> ;0.024; AFFIX-> ;0.0015; Fitness-> ;26.5542 Rendimiento-> 0.017954 VarianzaCalculada-> 6.7614E-4
 APIIX-> ;0.0152; APIUX-> ;0.8673; PRPFX-> ;0.091; MPERX-> ;0.0248; AFFIX-> ;0.0018; Fitness-> ;26.5515 Rendimiento-> 0.017951 VarianzaCalculada-> 6.7608E-4
