 APIIX-> ;0.0127; APIUX-> ;0.9864; PRPFX-> ;0.0; MPERX-> ;7.0E-4; AFFIX-> ;1.0E-4; Fitness-> ;29.1455 ;Rendimiento->; 0.020388 ;VarianzaCalculada->; 6.9954E-4
 APIIX-> ;0.0129; APIUX-> ;0.9891; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.0955 ;Rendimiento->; 0.020447 ;VarianzaCalculada->; 7.0274E-4
 APIIX-> ;0.0165; APIUX-> ;0.9835; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.0601 ;Rendimiento->; 0.02034 ;VarianzaCalculada->; 6.9992E-4
 APIIX-> ;0.0172; APIUX-> ;0.9823; PRPFX-> ;0.0; MPERX-> ;3.0E-4; AFFIX-> ;1.0E-4; Fitness-> ;29.0367 ;Rendimiento->; 0.020316 ;VarianzaCalculada->; 6.9967E-4
 APIIX-> ;0.0179; APIUX-> ;0.981; PRPFX-> ;0.0; MPERX-> ;8.0E-4; AFFIX-> ;2.0E-4; Fitness-> ;29.0068 ;Rendimiento->; 0.020289 ;VarianzaCalculada->; 6.9947E-4
 APIIX-> ;0.0161; APIUX-> ;0.9798; PRPFX-> ;0.0013; MPERX-> ;0.002; AFFIX-> ;7.0E-4; Fitness-> ;28.9981 ;Rendimiento->; 0.020259 ;VarianzaCalculada->; 6.9862E-4
 APIIX-> ;0.0161; APIUX-> ;0.98; PRPFX-> ;0.0013; MPERX-> ;0.0019; AFFIX-> ;7.0E-4; Fitness-> ;28.9971 ;Rendimiento->; 0.020263 ;VarianzaCalculada->; 6.988E-4
 APIIX-> ;0.019; APIUX-> ;0.9811; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.9927 ;Rendimiento->; 0.020296 ;VarianzaCalculada->; 7.0005E-4
 APIIX-> ;0.0116; APIUX-> ;0.9954; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.9857 ;Rendimiento->; 0.020573 ;VarianzaCalculada->; 7.0978E-4
 APIIX-> ;0.0194; APIUX-> ;0.9806; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.9853 ;Rendimiento->; 0.020287 ;VarianzaCalculada->; 6.9991E-4
