 APIIX-> ;0.057; APIUX-> ;0.9537; PRPFX-> ;0.0125; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.2207 Rendimiento-> 0.019836 VarianzaCalculada-> 7.2872E-4
 APIIX-> ;0.0644; APIUX-> ;0.9322; PRPFX-> ;0.0192; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.1098 Rendimiento-> 0.019417 VarianzaCalculada-> 7.1624E-4
 APIIX-> ;0.0354; APIUX-> ;0.8478; PRPFX-> ;0.1003; MPERX-> ;0.001; AFFIX-> ;0.0155; Fitness-> ;26.0729 Rendimiento-> 0.017706 VarianzaCalculada-> 6.7909E-4
 APIIX-> ;0.04; APIUX-> ;0.8338; PRPFX-> ;0.1047; MPERX-> ;0.0058; AFFIX-> ;0.0157; Fitness-> ;25.6944 Rendimiento-> 0.017417 VarianzaCalculada-> 6.7787E-4
 APIIX-> ;0.054; APIUX-> ;0.8321; PRPFX-> ;0.0948; MPERX-> ;0.0031; AFFIX-> ;0.0161; Fitness-> ;25.6407 Rendimiento-> 0.017416 VarianzaCalculada-> 6.7925E-4
 APIIX-> ;0.1099; APIUX-> ;0.8977; PRPFX-> ;0.0217; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;25.6177 Rendimiento-> 0.018819 VarianzaCalculada-> 7.346E-4
 APIIX-> ;0.0644; APIUX-> ;0.8275; PRPFX-> ;0.0878; MPERX-> ;0.0055; AFFIX-> ;0.0148; Fitness-> ;25.5113 Rendimiento-> 0.01733 VarianzaCalculada-> 6.7932E-4
 APIIX-> ;0.0653; APIUX-> ;0.8246; PRPFX-> ;0.0875; MPERX-> ;0.0062; AFFIX-> ;0.0164; Fitness-> ;25.4318 Rendimiento-> 0.017273 VarianzaCalculada-> 6.7918E-4
 APIIX-> ;0.0696; APIUX-> ;0.8208; PRPFX-> ;0.0925; MPERX-> ;0.0033; AFFIX-> ;0.014; Fitness-> ;25.3329 Rendimiento-> 0.017215 VarianzaCalculada-> 6.7955E-4
 APIIX-> ;0.1217; APIUX-> ;0.8868; PRPFX-> ;0.022; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;25.2962 Rendimiento-> 0.018623 VarianzaCalculada-> 7.362E-4
