 APIIX-> ;0.0023; APIUX-> ;0.9977; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.4264 Rendimiento-> 0.020598 VarianzaCalculada-> 6.9999E-4
 APIIX-> ;0.011; APIUX-> ;0.9889; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.2049 Rendimiento-> 0.020438 VarianzaCalculada-> 6.9981E-4
 APIIX-> ;0.0123; APIUX-> ;0.9877; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.1685 Rendimiento-> 0.020416 VarianzaCalculada-> 6.9994E-4
 APIIX-> ;0.0144; APIUX-> ;0.9856; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.1143 Rendimiento-> 0.020378 VarianzaCalculada-> 6.9993E-4
 APIIX-> ;0.0151; APIUX-> ;0.9849; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.0962 Rendimiento-> 0.020365 VarianzaCalculada-> 6.9993E-4
 APIIX-> ;0.0173; APIUX-> ;0.9828; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.0366 Rendimiento-> 0.020327 VarianzaCalculada-> 7.0006E-4
 APIIX-> ;0.0179; APIUX-> ;0.981; PRPFX-> ;9.0E-4; MPERX-> ;1.0E-4; AFFIX-> ;0.0; Fitness-> ;29.0115 Rendimiento-> 0.020292 VarianzaCalculada-> 6.9946E-4
 APIIX-> ;0.0176; APIUX-> ;0.9808; PRPFX-> ;0.0011; MPERX-> ;3.0E-4; AFFIX-> ;1.0E-4; Fitness-> ;29.0099 Rendimiento-> 0.020287 VarianzaCalculada-> 6.9932E-4
 APIIX-> ;0.0193; APIUX-> ;0.9807; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.9879 Rendimiento-> 0.020289 VarianzaCalculada-> 6.9991E-4
 APIIX-> ;0.0195; APIUX-> ;0.9805; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.9827 Rendimiento-> 0.020285 VarianzaCalculada-> 6.9991E-4
