 APIIX-> ;0.0; APIUX-> ;0.9975; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0025; Fitness-> ;29.4197 ;Rendimiento->; 0.020593 ;VarianzaCalculada->; 6.9996E-4
 APIIX-> ;0.0; APIUX-> ;0.9972; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0028; Fitness-> ;29.4118 ;Rendimiento->; 0.020587 ;VarianzaCalculada->; 6.9996E-4
 APIIX-> ;0.0; APIUX-> ;0.9971; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0029; Fitness-> ;29.4091 ;Rendimiento->; 0.020585 ;VarianzaCalculada->; 6.9996E-4
 APIIX-> ;0.0019; APIUX-> ;0.9949; PRPFX-> ;3.0E-4; MPERX-> ;0.0; AFFIX-> ;0.003; Fitness-> ;29.3501 ;Rendimiento->; 0.020545 ;VarianzaCalculada->; 6.9999E-4
 APIIX-> ;0.0012; APIUX-> ;0.9919; PRPFX-> ;0.0018; MPERX-> ;0.0; AFFIX-> ;0.0051; Fitness-> ;29.2933 ;Rendimiento->; 0.020486 ;VarianzaCalculada->; 6.9935E-4
 APIIX-> ;0.0024; APIUX-> ;0.9888; PRPFX-> ;0.0057; MPERX-> ;0.0; AFFIX-> ;0.0031; Fitness-> ;29.256 ;Rendimiento->; 0.020426 ;VarianzaCalculada->; 6.9816E-4
 APIIX-> ;0.0; APIUX-> ;0.9911; PRPFX-> ;6.0E-4; MPERX-> ;0.0; AFFIX-> ;0.0086; Fitness-> ;29.2409 ;Rendimiento->; 0.020472 ;VarianzaCalculada->; 7.001E-4
 APIIX-> ;0.0015; APIUX-> ;0.9865; PRPFX-> ;0.0088; MPERX-> ;0.0; AFFIX-> ;0.0033; Fitness-> ;29.2229 ;Rendimiento->; 0.020379 ;VarianzaCalculada->; 6.9737E-4
 APIIX-> ;0.0; APIUX-> ;0.9959; PRPFX-> ;4.0E-4; MPERX-> ;0.0; AFFIX-> ;0.0066; Fitness-> ;29.2212 ;Rendimiento->; 0.020567 ;VarianzaCalculada->; 7.0384E-4
 APIIX-> ;0.0; APIUX-> ;0.9872; PRPFX-> ;0.0092; MPERX-> ;0.0; AFFIX-> ;0.0042; Fitness-> ;29.2171 ;Rendimiento->; 0.020392 ;VarianzaCalculada->; 6.9794E-4
