 APIIX-> ;0.0596; APIUX-> ;0.9203; PRPFX-> ;0.0213; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.5642 Rendimiento-> 0.019162 VarianzaCalculada-> 6.9517E-4
 APIIX-> ;0.0641; APIUX-> ;0.9194; PRPFX-> ;0.0165; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.5615 Rendimiento-> 0.019149 VarianzaCalculada-> 6.9479E-4
 APIIX-> ;0.0529; APIUX-> ;0.9145; PRPFX-> ;0.0317; MPERX-> ;1.0E-4; AFFIX-> ;8.0E-4; Fitness-> ;27.5573 Rendimiento-> 0.019037 VarianzaCalculada-> 6.908E-4
 APIIX-> ;0.0624; APIUX-> ;0.917; PRPFX-> ;0.0202; MPERX-> ;1.0E-4; AFFIX-> ;2.0E-4; Fitness-> ;27.5365 Rendimiento-> 0.019099 VarianzaCalculada-> 6.936E-4
 APIIX-> ;0.0578; APIUX-> ;0.9157; PRPFX-> ;0.0248; MPERX-> ;3.0E-4; AFFIX-> ;0.0015; Fitness-> ;27.5304 Rendimiento-> 0.019067 VarianzaCalculada-> 6.9259E-4
 APIIX-> ;0.0577; APIUX-> ;0.9154; PRPFX-> ;0.0251; MPERX-> ;3.0E-4; AFFIX-> ;0.0017; Fitness-> ;27.5197 Rendimiento-> 0.019062 VarianzaCalculada-> 6.9265E-4
 APIIX-> ;0.0685; APIUX-> ;0.9186; PRPFX-> ;0.0129; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.5084 Rendimiento-> 0.01914 VarianzaCalculada-> 6.958E-4
 APIIX-> ;0.0636; APIUX-> ;0.918; PRPFX-> ;0.0192; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.5072 Rendimiento-> 0.019122 VarianzaCalculada-> 6.9516E-4
 APIIX-> ;0.059; APIUX-> ;0.9154; PRPFX-> ;0.0216; MPERX-> ;2.0E-4; AFFIX-> ;0.0037; Fitness-> ;27.5048 Rendimiento-> 0.019065 VarianzaCalculada-> 6.9315E-4
 APIIX-> ;0.0621; APIUX-> ;0.9149; PRPFX-> ;0.023; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.4995 Rendimiento-> 0.019058 VarianzaCalculada-> 6.9303E-4
