 APIIX-> ;0.0769; APIUX-> ;0.9231; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.5005 ;Rendimiento->; 0.019241 ;VarianzaCalculada->; 6.9967E-4
 APIIX-> ;0.0769; APIUX-> ;0.9231; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.5005 ;Rendimiento->; 0.019241 ;VarianzaCalculada->; 6.9967E-4
 APIIX-> ;0.0772; APIUX-> ;0.9228; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.4927 ;Rendimiento->; 0.019236 ;VarianzaCalculada->; 6.9967E-4
 APIIX-> ;0.0775; APIUX-> ;0.9225; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.485 ;Rendimiento->; 0.01923 ;VarianzaCalculada->; 6.9966E-4
 APIIX-> ;0.0776; APIUX-> ;0.9224; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.4824 ;Rendimiento->; 0.019228 ;VarianzaCalculada->; 6.9966E-4
 APIIX-> ;0.0777; APIUX-> ;0.9223; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.4798 ;Rendimiento->; 0.019227 ;VarianzaCalculada->; 6.9966E-4
 APIIX-> ;0.0777; APIUX-> ;0.9223; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.4798 ;Rendimiento->; 0.019227 ;VarianzaCalculada->; 6.9966E-4
 APIIX-> ;0.077; APIUX-> ;0.9238; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.4775 ;Rendimiento->; 0.019256 ;VarianzaCalculada->; 7.0079E-4
 APIIX-> ;0.0782; APIUX-> ;0.9218; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.4669 ;Rendimiento->; 0.019218 ;VarianzaCalculada->; 6.9966E-4
 APIIX-> ;0.0782; APIUX-> ;0.9218; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.4669 ;Rendimiento->; 0.019218 ;VarianzaCalculada->; 6.9966E-4
