 APIIX-> ;0.0; APIUX-> ;0.9876; PRPFX-> ;0.0124; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.295 Rendimiento-> 0.020396 VarianzaCalculada-> 6.9623E-4
 APIIX-> ;0.0; APIUX-> ;0.9801; PRPFX-> ;0.0199; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.1714 Rendimiento-> 0.020249 VarianzaCalculada-> 6.9412E-4
 APIIX-> ;0.0094; APIUX-> ;0.9769; PRPFX-> ;0.02; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.7477 Rendimiento-> 0.020206 VarianzaCalculada-> 7.0286E-4
 APIIX-> ;0.0153; APIUX-> ;0.9614; PRPFX-> ;0.0207; MPERX-> ;0.0016; AFFIX-> ;0.0011; Fitness-> ;28.6949 Rendimiento-> 0.019898 VarianzaCalculada-> 6.9342E-4
 APIIX-> ;0.0122; APIUX-> ;0.9685; PRPFX-> ;0.0231; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.6927 Rendimiento-> 0.020042 VarianzaCalculada-> 6.9851E-4
 APIIX-> ;0.0; APIUX-> ;0.9968; PRPFX-> ;0.0229; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.5652 Rendimiento-> 0.020596 VarianzaCalculada-> 7.2102E-4
 APIIX-> ;0.0182; APIUX-> ;0.9525; PRPFX-> ;0.0193; MPERX-> ;0.0053; AFFIX-> ;0.0046; Fitness-> ;28.4793 Rendimiento-> 0.019714 VarianzaCalculada-> 6.9222E-4
 APIIX-> ;0.0182; APIUX-> ;0.9503; PRPFX-> ;0.0175; MPERX-> ;0.0072; AFFIX-> ;0.0069; Fitness-> ;28.4043 Rendimiento-> 0.019665 VarianzaCalculada-> 6.9231E-4
 APIIX-> ;0.0201; APIUX-> ;0.9499; PRPFX-> ;0.0189; MPERX-> ;0.0061; AFFIX-> ;0.0052; Fitness-> ;28.3958 Rendimiento-> 0.019663 VarianzaCalculada-> 6.9246E-4
 APIIX-> ;0.0258; APIUX-> ;0.9477; PRPFX-> ;0.0191; MPERX-> ;0.0042; AFFIX-> ;0.0031; Fitness-> ;28.3475 Rendimiento-> 0.019634 VarianzaCalculada-> 6.9263E-4
