 APIIX-> ;0.0268; APIUX-> ;0.9732; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.7943 ;Rendimiento->; 0.020153 ;VarianzaCalculada->; 6.9988E-4
 APIIX-> ;0.0268; APIUX-> ;0.9732; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.7943 ;Rendimiento->; 0.020153 ;VarianzaCalculada->; 6.9988E-4
 APIIX-> ;0.0274; APIUX-> ;0.9725; PRPFX-> ;1.0E-4; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.7773 ;Rendimiento->; 0.02014 ;VarianzaCalculada->; 6.9984E-4
 APIIX-> ;0.0275; APIUX-> ;0.972; PRPFX-> ;2.0E-4; MPERX-> ;1.0E-4; AFFIX-> ;1.0E-4; Fitness-> ;28.7715 ;Rendimiento->; 0.02013 ;VarianzaCalculada->; 6.9963E-4
 APIIX-> ;0.0282; APIUX-> ;0.9705; PRPFX-> ;6.0E-4; MPERX-> ;4.0E-4; AFFIX-> ;3.0E-4; Fitness-> ;28.7338 ;Rendimiento->; 0.0201 ;VarianzaCalculada->; 6.9953E-4
 APIIX-> ;0.0286; APIUX-> ;0.9698; PRPFX-> ;0.0012; MPERX-> ;0.0; AFFIX-> ;3.0E-4; Fitness-> ;28.7246 ;Rendimiento->; 0.020088 ;VarianzaCalculada->; 6.9935E-4
 APIIX-> ;0.0288; APIUX-> ;0.9695; PRPFX-> ;8.0E-4; MPERX-> ;4.0E-4; AFFIX-> ;5.0E-4; Fitness-> ;28.7099 ;Rendimiento->; 0.020081 ;VarianzaCalculada->; 6.9946E-4
 APIIX-> ;0.0285; APIUX-> ;0.9685; PRPFX-> ;0.0015; MPERX-> ;3.0E-4; AFFIX-> ;0.0011; Fitness-> ;28.6958 ;Rendimiento->; 0.020062 ;VarianzaCalculada->; 6.9913E-4
 APIIX-> ;0.0304; APIUX-> ;0.969; PRPFX-> ;4.0E-4; MPERX-> ;0.0; AFFIX-> ;1.0E-4; Fitness-> ;28.6955 ;Rendimiento->; 0.020075 ;VarianzaCalculada->; 6.9959E-4
 APIIX-> ;0.0293; APIUX-> ;0.9688; PRPFX-> ;0.0014; MPERX-> ;0.0; AFFIX-> ;5.0E-4; Fitness-> ;28.6954 ;Rendimiento->; 0.02007 ;VarianzaCalculada->; 6.9942E-4
