 APIIX-> ;0.0979; APIUX-> ;0.9021; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.9576 Rendimiento-> 0.018859 VarianzaCalculada-> 6.9959E-4
 APIIX-> ;0.0998; APIUX-> ;0.9002; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.9085 Rendimiento-> 0.018825 VarianzaCalculada-> 6.9958E-4
 APIIX-> ;0.1017; APIUX-> ;0.8982; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.8618 Rendimiento-> 0.018788 VarianzaCalculada-> 6.9943E-4
 APIIX-> ;0.1017; APIUX-> ;0.8983; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.8594 Rendimiento-> 0.01879 VarianzaCalculada-> 6.9957E-4
 APIIX-> ;0.1019; APIUX-> ;0.8981; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.8542 Rendimiento-> 0.018786 VarianzaCalculada-> 6.9957E-4
 APIIX-> ;0.1025; APIUX-> ;0.8975; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.8387 Rendimiento-> 0.018776 VarianzaCalculada-> 6.9957E-4
 APIIX-> ;0.1027; APIUX-> ;0.8973; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.8335 Rendimiento-> 0.018772 VarianzaCalculada-> 6.9957E-4
 APIIX-> ;0.1028; APIUX-> ;0.8972; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.8309 Rendimiento-> 0.01877 VarianzaCalculada-> 6.9957E-4
 APIIX-> ;0.1043; APIUX-> ;0.8957; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.7921 Rendimiento-> 0.018743 VarianzaCalculada-> 6.9956E-4
 APIIX-> ;0.1044; APIUX-> ;0.8956; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;26.7896 Rendimiento-> 0.018741 VarianzaCalculada-> 6.9956E-4
