 APIIX-> ;0.0599; APIUX-> ;0.9401; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;27.9397 ;Rendimiento->; 0.01955 ;VarianzaCalculada->; 6.9974E-4
 APIIX-> ;0.063; APIUX-> ;0.9308; PRPFX-> ;0.001; MPERX-> ;0.0047; AFFIX-> ;5.0E-4; Fitness-> ;27.7397 ;Rendimiento->; 0.019353 ;VarianzaCalculada->; 6.9766E-4
 APIIX-> ;0.0666; APIUX-> ;0.9291; PRPFX-> ;0.0032; MPERX-> ;0.001; AFFIX-> ;0.0; Fitness-> ;27.6996 ;Rendimiento->; 0.01934 ;VarianzaCalculada->; 6.982E-4
 APIIX-> ;0.0645; APIUX-> ;0.9277; PRPFX-> ;0.0017; MPERX-> ;0.0056; AFFIX-> ;4.0E-4; Fitness-> ;27.677 ;Rendimiento->; 0.01929 ;VarianzaCalculada->; 6.9698E-4
 APIIX-> ;0.0674; APIUX-> ;0.9277; PRPFX-> ;0.0036; MPERX-> ;0.0011; AFFIX-> ;1.0E-4; Fitness-> ;27.6679 ;Rendimiento->; 0.019313 ;VarianzaCalculada->; 6.9803E-4
 APIIX-> ;0.0661; APIUX-> ;0.9269; PRPFX-> ;0.0028; MPERX-> ;0.0041; AFFIX-> ;1.0E-4; Fitness-> ;27.6528 ;Rendimiento->; 0.019283 ;VarianzaCalculada->; 6.9733E-4
 APIIX-> ;0.0741; APIUX-> ;0.9167; PRPFX-> ;0.0068; MPERX-> ;0.0021; AFFIX-> ;1.0E-4; Fitness-> ;27.4249 ;Rendimiento->; 0.019102 ;VarianzaCalculada->; 6.9653E-4
 APIIX-> ;0.0736; APIUX-> ;0.9178; PRPFX-> ;0.0014; MPERX-> ;0.0067; AFFIX-> ;4.0E-4; Fitness-> ;27.4238 ;Rendimiento->; 0.019105 ;VarianzaCalculada->; 6.9664E-4
 APIIX-> ;0.0744; APIUX-> ;0.9163; PRPFX-> ;0.0069; MPERX-> ;0.0022; AFFIX-> ;1.0E-4; Fitness-> ;27.4109 ;Rendimiento->; 0.019095 ;VarianzaCalculada->; 6.9661E-4
 APIIX-> ;0.0786; APIUX-> ;0.918; PRPFX-> ;0.002; MPERX-> ;0.0015; AFFIX-> ;0.0; Fitness-> ;27.3932 ;Rendimiento->; 0.019137 ;VarianzaCalculada->; 6.9861E-4
