 APIIX-> ;0.0; APIUX-> ;1.0; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.4857 ;Rendimiento->; 0.02064 ;VarianzaCalculada->; 7.0E-4
 APIIX-> ;8.0E-4; APIUX-> ;0.9991; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.468 ;Rendimiento->; 0.020623 ;VarianzaCalculada->; 6.9986E-4
 APIIX-> ;0.0; APIUX-> ;1.0009; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.4592 ;Rendimiento->; 0.020659 ;VarianzaCalculada->; 7.0126E-4
 APIIX-> ;0.0059; APIUX-> ;0.9941; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.3335 ;Rendimiento->; 0.020533 ;VarianzaCalculada->; 6.9997E-4
 APIIX-> ;0.0073; APIUX-> ;0.9925; PRPFX-> ;0.0; MPERX-> ;2.0E-4; AFFIX-> ;0.0; Fitness-> ;29.2938 ;Rendimiento->; 0.020502 ;VarianzaCalculada->; 6.9989E-4
 APIIX-> ;0.0152; APIUX-> ;0.9849; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.0908 ;Rendimiento->; 0.020366 ;VarianzaCalculada->; 7.0007E-4
 APIIX-> ;0.017; APIUX-> ;0.9829; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;29.0501 ;Rendimiento->; 0.020329 ;VarianzaCalculada->; 6.9978E-4
 APIIX-> ;0.0198; APIUX-> ;0.9801; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.9778 ;Rendimiento->; 0.020278 ;VarianzaCalculada->; 6.9977E-4
 APIIX-> ;0.0; APIUX-> ;1.0187; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.9445 ;Rendimiento->; 0.021026 ;VarianzaCalculada->; 7.2642E-4
 APIIX-> ;0.0232; APIUX-> ;0.9768; PRPFX-> ;0.0; MPERX-> ;0.0; AFFIX-> ;0.0; Fitness-> ;28.8872 ;Rendimiento->; 0.020218 ;VarianzaCalculada->; 6.9989E-4
