 APIIX-> ;0.0125; APIUX-> ;0.9608; PRPFX-> ;0.0014; MPERX-> ;0.0211; AFFIX-> ;0.0042; Fitness-> ;28.6164 Rendimiento-> 0.019803 VarianzaCalculada-> 6.9202E-4
 APIIX-> ;0.0127; APIUX-> ;0.9606; PRPFX-> ;0.0014; MPERX-> ;0.0211; AFFIX-> ;0.0042; Fitness-> ;28.6112 Rendimiento-> 0.0198 VarianzaCalculada-> 6.9202E-4
 APIIX-> ;0.0139; APIUX-> ;0.9591; PRPFX-> ;0.0015; MPERX-> ;0.0212; AFFIX-> ;0.0043; Fitness-> ;28.5734 Rendimiento-> 0.019771 VarianzaCalculada-> 6.9195E-4
 APIIX-> ;0.0141; APIUX-> ;0.9589; PRPFX-> ;0.0015; MPERX-> ;0.0212; AFFIX-> ;0.0043; Fitness-> ;28.5682 Rendimiento-> 0.019768 VarianzaCalculada-> 6.9195E-4
 APIIX-> ;0.0143; APIUX-> ;0.9591; PRPFX-> ;0.0015; MPERX-> ;0.021; AFFIX-> ;0.0042; Fitness-> ;28.567 Rendimiento-> 0.019773 VarianzaCalculada-> 6.9216E-4
 APIIX-> ;0.0128; APIUX-> ;0.9572; PRPFX-> ;0.0026; MPERX-> ;0.0218; AFFIX-> ;0.0056; Fitness-> ;28.5359 Rendimiento-> 0.019731 VarianzaCalculada-> 6.9144E-4
 APIIX-> ;0.0153; APIUX-> ;0.9552; PRPFX-> ;0.0026; MPERX-> ;0.0215; AFFIX-> ;0.0054; Fitness-> ;28.4822 Rendimiento-> 0.019696 VarianzaCalculada-> 6.9153E-4
 APIIX-> ;0.0163; APIUX-> ;0.9546; PRPFX-> ;0.0025; MPERX-> ;0.0215; AFFIX-> ;0.0051; Fitness-> ;28.4659 Rendimiento-> 0.019686 VarianzaCalculada-> 6.9156E-4
 APIIX-> ;0.0155; APIUX-> ;0.9543; PRPFX-> ;0.003; MPERX-> ;0.0215; AFFIX-> ;0.0057; Fitness-> ;28.4621 Rendimiento-> 0.019679 VarianzaCalculada-> 6.9142E-4
 APIIX-> ;0.0156; APIUX-> ;0.9544; PRPFX-> ;0.0027; MPERX-> ;0.0218; AFFIX-> ;0.0056; Fitness-> ;28.4583 Rendimiento-> 0.01968 VarianzaCalculada-> 6.9154E-4
